start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
10,Medical Approval Doctor,AXON,"Maadi,Cairo,Egypt",24 hours ago,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"Medical/Healthcare, Medical, Excellent clinical judgment and decision-making skills., Proficiency in using medical and insurance software systems., Ability to work under pressure and meet deadlines.",https://wuzzuf.net/jobs/p/pyo9vyxhmmyx-medical-approval-doctor-axon-cairo-egypt
15,Medical Sales Representative,NutriMed,"New Cairo,Cairo,Egypt",1 day ago,Full Time,Hybrid,Experienced,1 - 2 Yrs of Exp,"Medical/Healthcare, Medical Sales, Sales Target, Customer Service, Pharmacy",https://wuzzuf.net/jobs/p/bnyovrbktemh-medical-sales-representative-nutrimed-cairo-egypt
15,Medical Representative,Elegant Care Medical Group,"Heliopolis,Cairo,Egypt",1 day ago,Full Time,Hybrid,Entry Level,1+ Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Sales, Communication, Customer Care, Pharmacy, Medical Sales, Medical Devices Sales",https://wuzzuf.net/jobs/p/jtpamlp1wpif-medical-representative-elegant-care-medical-group-cairo-egypt
17,Inpatient Pharmacist,Mersal,"Maadi,Cairo,Egypt",2 days ago,Part Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmacy, Pharmaceutical, Hospital Pharmacy, Therapeutics, Pharmacy Information Systems, Drug Interactions, Electronic Medical Records",https://wuzzuf.net/jobs/p/vipjvp7cbnj7-inpatient-pharmacist-mersal-cairo-egypt
22,Pharmacist,Healthynia pharmacy,"Cairo,Egypt",2 days ago,Full Time,On-site,Experienced,3+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Medical Knowledge & Practice, Pharmaceutical Science & Expertise, Pharmacy Operations Management, Sales Acumen & Strategy, Patient Counseling, Medication Dispensing, Drug Interaction Management, Inventory Management",https://wuzzuf.net/jobs/p/mfj2mtgofsne-pharmacist-healthynia-pharmacy-cairo-egypt
25,Medical Tourism Head,Alexandria New Medical Center,"Alexandria,Egypt",2 days ago,Full Time,On-site,Manager,5 - 10 Yrs of Exp,"Medical/Healthcare, Management, Medical",https://wuzzuf.net/jobs/p/xqcai8tuyqlk-medical-tourism-head-alexandria-new-medical-center-alexandria-egypt
39,Growth Marketing Specialist (Healthcare & Tech),Medilink360 LLCFZ,"Maadi,Cairo,Egypt",6 days ago,Full Time,Freelance / Project,Hybrid,3 - 7 Yrs of Exp,"Experienced, Creative/Design/Art, IT/Software Development, Marketing/PR/Advertising, Social Media, Marketing, Graphic Design, healthtech, Growth Hacking",https://wuzzuf.net/jobs/p/jc60ehj83isj-growth-marketing-specialist-healthcare-tech-medilink360-llc-fz-cairo-egypt
42,Pediatrician (Medical Doctor) - Back Up Position,Medecins Sans Frontieres,"Faisal,Giza,Egypt",6 days ago,Shift Based,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Health Care, Leadership, NGO, INGO, humanitarian, medical doctor, MSF, Medical Services, Pediatrics",https://wuzzuf.net/jobs/p/ych8pm4ssenh-pediatrician-medical-doctor-back-up-position-medecins-sans-frontieres-giza-egypt
45,Regulatory Affairs Specialist,Macro Group,"Sheraton,Cairo,Egypt",6 days ago,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Regulatory Affairs, Pharmacy, Science, Pharmaceutical, Vet, Cosmetics, Regulatory, nutraceutical",https://wuzzuf.net/jobs/p/mryyuvvdoglx-regulatory-affairs-specialist-macro-group-cairo-egypt
49,Pharma Inventory Management Specialist,Ibn Sina Pharma,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Logistics/Supply Chain, Operations/Management, Inventory Management, Logistics, Management, Pharma Industry Knowledge, Purchasing, Supply Chain Optimization, Attention to Detail, Problem-Solving",https://wuzzuf.net/jobs/p/cm7phur6nxta-pharma-inventory-management-specialist-ibn-sina-pharma-cairo-egypt
49,Medical Sales Representative,Misr Sinai,"Downtown,Cairo,Egypt",7 days ago,Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Customer Service, Medical Sales, Sales Target, Sales, Medical, Pharmaceutical, Medical Supplies",https://wuzzuf.net/jobs/p/hnu4asjbg1pm-medical-sales-representative-misr-sinai-cairo-egypt
52,Import & Regulatory Operations Coordinator for Medical Supplies,Egyptian Company for Supplies,"Manial,Cairo,Egypt",7 days ago,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Operations/Management, Import / Export, Financial Regulatory Authority",https://wuzzuf.net/jobs/p/iqfpfs9h0f1e-import-regulatory-operations-coordinator-for-medical-supplies-egyptian-company-for-supplies-cairo-egypt
57,Logistics & regulatory affairs,Confidential,"Obour City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Logistics/Supply Chain, Logistics, Regulatory Affairs, Purchasing",https://wuzzuf.net/jobs/p/7pwj14wr7juz-logistics-regulatory-affairs-cairo-egypt
58,Medical Representative,Insight Medical,"Sheraton,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Logistics/Supply Chain, Medical/Healthcare, Pharmaceutical, Medical, Pharmacy, Sales, Medical Sales, Medical Devices Sales, Medical Services, Sales Field",https://wuzzuf.net/jobs/p/vylkym86rzv9-medical-representative-insight-medical-cairo-egypt
58,"Medical Representative Cairo, Giza, Assuit ,and Sohaj",Epione Medical supplies,"Qasr ِAlnil,Cairo,Egypt",,Full Time,Hybrid,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Communication, Technical Presentations, Entertainment, Sales Target, achiever",https://wuzzuf.net/jobs/p/ya9fe5mtryij-medical-representative-cairo-giza-assuit-and-sohaj-epione-medical-supplies-cairo-egypt
60,Medical Product Manager,Insight Medical,"Sheraton,Cairo,Egypt",,Full Time,On-site,Manager,3 - 5 Yrs of Exp,"Manufacturing/Production, Medical/Healthcare, Pharmaceutical, Management, Production, Pharmaceutical, Manufacturing, Engineering, Production Engineering",https://wuzzuf.net/jobs/p/qmahf8kcps7s-medical-product-manager-insight-medical-cairo-egypt
68,AP Accountant ( Medical Insurance ),AXON,"Maadi,Cairo,Egypt",,Full Time,On-site,Senior Management,2 - 4 Yrs of Exp,"Medical/Healthcare, Accounting, AP",https://wuzzuf.net/jobs/p/bq3g6orbxvdr-ap-accountant-medical-insurance-axon-cairo-egypt
78,Medical Sales Representative - Heliopolis,Orthomedics,"Heliopolis,Cairo,Egypt",,Full Time,Part Time,On-site,0 - 3 Yrs of Exp,"Entry Level, Customer Service/Support, Medical/Healthcare, Sales/Retail, Customer Service, Medical Sales, Sales Target, Sales, Medical, Pharmaceutical, Veterinary Medicine",https://wuzzuf.net/jobs/p/z3emoqzm3uvd-medical-sales-representative-heliopolis-orthomedics-cairo-egypt
78,Medical Representative - Giza,interpharma,"Giza,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Pharmaceutical, Excellent communcation, strong selling, negotiation skills, problem solving, time mangement, ability to learn, Sales Target",https://wuzzuf.net/jobs/p/prx0uurpwrsy-medical-representative-giza-interpharma-giza-egypt
78,Medical Sales Representative,Cairoscan,"Hadayek Alkobba,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Medical Sales, Customer Service, Pharmacy, Sales, Sales Target",https://wuzzuf.net/jobs/p/fisxxqtg9svb-medical-sales-representative-cairoscan-cairo-egypt
79,Medical Sales Representative,Mailife  ماي لايف,"Cairo,Egypt",,Freelance / Project,Remote,Experienced,3 - 10 Yrs of Exp,"Medical/Healthcare, Medical Sales, Sales Target, Sales",https://wuzzuf.net/jobs/p/bxos4uha4h6o-medical-sales-representative-mailife-may-layf-cairo-egypt
88,"Medical Sales Representative (Regions: Giza ,Upper Egypt & Delta)",Nano Tech,"Dokki,Giza,Egypt",,Full Time,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Sales Skills, Sales Target, Pharmaceuticals, Medical, Pharmacy, English, Science",https://wuzzuf.net/jobs/p/pyuqpdyr7ee7-medical-sales-representative-regions-giza-upper-egypt-delta-nano-tech-giza-egypt
88,Hospital Medical Director,Confidential,"Zamalek,Cairo,Egypt",,Full Time,On-site,Senior Management,10 - 15 Yrs of Exp,"Medical/Healthcare, Team management, clinical leadership, Quality Assurance, Health Care, Hospitality, Medical, Leadership, Management",https://wuzzuf.net/jobs/p/ebdnczsikhr8-hospital-medical-director-cairo-egypt
89,Medical Sales Representative,STUDEX FOR TRADING,"Cairo,Egypt",,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Sales Field, Sales Target, Outdoor Sales, Business Development, Marketing Planning, Marketing, Medical Sales, Medical",https://wuzzuf.net/jobs/p/7akzhdjxgplo-medical-sales-representative-studex-for-trading-cairo-egypt
91,Medical Insurance Sales (Hospital Segment),Dubai International,"New Cairo,Cairo,Egypt",,Full Time,Hybrid,Experienced,2 - 7 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical insurance processing, Claims management, Insurance policy interpretation, Patient communication, Hospital billing, Problem-solving, Attention to detail",https://wuzzuf.net/jobs/p/pjmxusbeyeak-medical-insurance-sales-hospital-segment-dubai-international-cairo-egypt
92,Senior Biomedical Engineer,Mersal,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Medical/Healthcare, Engineering - Other, Biomedical, Leadership, Engineering, Biomedical Engineering, Microsoft Office",https://wuzzuf.net/jobs/p/wuszbflxaqmw-senior-biomedical-engineer-mersal-cairo-egypt
96,Medical Representative,Confidential,"Giza,Giza,Egypt",,Full Time,Hybrid,Entry Level,0 - 2 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Sales, Business Development, Marketing, Medical Devices Sales, Medical Sales, Pharmaceutical Sales, Gastrointestinal Endoscopy",https://wuzzuf.net/jobs/p/it0uvuswzonx-medical-representative-giza-egypt
105,Medical representative - Medical Device- Cairo,STARK,"Maadi,Cairo,Egypt",,Full Time,Remote,Entry Level,0 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, medical rep, Medical Sales, Medical Equipment, Medical, Sales, Sales Target, sales skills",https://wuzzuf.net/jobs/p/rv88knkwm0bb-medical-representative-medical-device-cairo-stark-cairo-egypt
107,Field Service Engineer Medical device,Confidential,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,2 - 7 Yrs of Exp,"Hospitality/Hotels/Food Services, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical, Biomedical, Engineering, Medical",https://wuzzuf.net/jobs/p/yjouvbqaz0tn-field-service-engineer-medical-device-cairo-egypt
108,Medical Sales Representative medical devices,Confidential,"Mokattam,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,"Marketing/PR/Advertising, Medical/Healthcare, Sales/Retail, Sales, Medical, sales skills",https://wuzzuf.net/jobs/p/x9dya9a3x9zx-medical-sales-representative-medical-devices-cairo-egypt
112,Medical Customer Support Specialist,Confidential,"6th of October,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Medical/Healthcare, Customer Service, service care, Microsoft Office, Time Management, Communication, Organization Development, Windows, Problem Solving",https://wuzzuf.net/jobs/p/awnnk9amcerq-medical-customer-support-specialist-giza-egypt
118,Pharmacy Manager,Al Ahly Medical Company,"Nasr City,Cairo,Egypt",,Full Time,On-site,Manager,3 - 5 Yrs of Exp,"Operations/Management, Pharmaceutical, Communication, Management, Pharmaceutical, Pharmaceutical Expertise, Pharmacy Operations, Leadership, Pharmaceutical Sales, Inventory Management",https://wuzzuf.net/jobs/p/q3lcofntxxke-pharmacy-manager-al-ahly-medical-company-cairo-egypt
119,Medical Device Registration & Regulatory Affairs,Medix,"Giza,Egypt",,Full Time,Part Time,Freelance / Project,3 - 15 Yrs of Exp,"Hybrid, Experienced, Logistics/Supply Chain, Medical/Healthcare, Pharmaceutical, Medical, Regulatory Affairs, regulatory, Pharmacy, EDA, medical device, MOH",https://wuzzuf.net/jobs/p/dt2bdrixigxv-medical-device-registration-regulatory-affairs-medix-giza-egypt
119,Medical Sales Representative,Medix,"Dokki,Giza,Egypt",,Full Time,Part Time,Freelance / Project,2 - 5 Yrs of Exp,"Hybrid, Experienced, Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Medical Sales, Medical Supplies, Medical Equipment, Medical Engineering, Medical Care, Medical Devices Sales",https://wuzzuf.net/jobs/p/vknkoxefptzm-medical-sales-representative-medix-giza-egypt
123,Medical & Senior Medical Representatives,PT CELL,"Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Pharmacy, Sales, Pharmaceutical",https://wuzzuf.net/jobs/p/igh8qdjfx5hr-medical-senior-medical-representatives-pt-cell-cairo-egypt
126,Pharmacist ( Inpatient & Outpatient ),Shorouk Specialised Hospital  (Swiss Management),"Shorouk City,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Medical, Pharmaceutical, Pharmacy",https://wuzzuf.net/jobs/p/kuhskdeevwxm-pharmacist-inpatient-outpatient-shorouk-specialised-hospital-swiss-management-cairo-egypt
131,Medical Manager /Dentist,Shiny White Dental Center,"Cairo,Egypt",,Full Time,On-site,Manager,5 - 10 Yrs of Exp,"Operations/Management, Medical/Healthcare, Medical, Healthcare, Dentistry, Management, leadership, medical director, English, Communication",https://wuzzuf.net/jobs/p/uies9lpwdgfh-medical-manager-dentist-shiny-white-dental-center-cairo-egypt
136,Medical Equipment Sales Representative,BMEgypt,"Sharqia,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Medical/Healthcare, Medical, Medical Equipment, Sales, Sales Target, Communication, Product knowledge, Support Services, Sales Field",https://wuzzuf.net/jobs/p/chv9wtratbpl-medical-equipment-sales-representative-bm-egypt-sharqia-egypt
136,Medical Devices Sales Representative,BMEgypt,"Gharbia,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Medical/Healthcare, Medical, Medical Devices, Medical Devices Sales, Sales Target, Sales",https://wuzzuf.net/jobs/p/jczfihrahke0-medical-devices-sales-representative-bm-egypt-gharbia-egypt
137,Medical Representative,interpharma,"Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Sales/Retail, Pharmaceutical, Medical, pediatric nutrition, Pharmacy, Negotiation, Agriculture",https://wuzzuf.net/jobs/p/zofitgejd1x9-medical-representative-interpharma-cairo-egypt
146,Regulatory Affairs Specialist,Parkville Pharmaceuticals,"Giza,Giza,Egypt",,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Regulatory Affairs, Analytical",https://wuzzuf.net/jobs/p/khatlbdkbhuu-regulatory-affairs-specialist-parkville-pharmaceuticals-giza-egypt
153,Production Pharmacist,APEX Pharma,"Badr City,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Operations/Management, Manufacturing/Production, Pharmaceutical, Pharmaceutical, Production, Pharmacy, Solid dosage form, semi solid dosage form, SOLID, Semi Solid",https://wuzzuf.net/jobs/p/bbki0vbpugt4-production-pharmacist-apex-pharma-cairo-egypt
160,Pharmacy Branch Manager (New Cairo),Yodawy,"New Cairo,Cairo,Egypt",,Full Time,On-site,Manager,3 - 8 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Branch Management, Pharmaceutical, Retail, Communication, Leadership, Customer Service, Management, Pharmacy",https://wuzzuf.net/jobs/p/sv4xcuptpnqh-pharmacy-branch-manager-new-cairo-yodawy-cairo-egypt
161,Medical Supply Specialist,Misr Sinai,"Manial,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Supply Management, Pharmacy, Medical Supplies, Medical, Logistics, Purchasing, Supply Chain",https://wuzzuf.net/jobs/p/4ogopyv8iovk-medical-supply-specialist-misr-sinai-cairo-egypt
162,Community Pharmacist (New Cairo),Yodawy,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 4 Yrs of Exp,"Pharmaceutical, Pharmacy, Pharmaceutical, Pharma, Communication, Multitasking, Problem Solving, Negotiation",https://wuzzuf.net/jobs/p/oe0adise65p6-community-pharmacist-new-cairo-yodawy-cairo-egypt
167,Talent Acquisition Section Head (Medical Background),Alfa Laboratories,"6th of October,Giza,Egypt",,Full Time,On-site,Manager,5 - 10 Yrs of Exp,"Human Resources, Talent acquisition, Recruitment, Human Resources (HR), White Collar, Blue Collar, Mass Hiring",https://wuzzuf.net/jobs/p/bybcbo34l9o9-talent-acquisition-section-head-medical-background-alfa-laboratories-giza-egypt
169,Medical Sales Representative - Nasr City,Orthomedics,"Nasr City,Cairo,Egypt",,Full Time,Part Time,On-site,1 - 3 Yrs of Exp,"Entry Level, Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Medical Sales, Sales Target, Sales, Outdoor Sales, Pharmaceutical, Medical Devices Sales",https://wuzzuf.net/jobs/p/7cchijfm0qtf-medical-sales-representative-nasr-city-orthomedics-cairo-egypt
169,Quality Assurance Specialist - Medical Digitization (Pharmacist),Digital Bridges,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"Medical/Healthcare, Quality, Pharmaceutical, Microsoft Excel, Quality Auditing",https://wuzzuf.net/jobs/p/svqwktsov1cq-quality-assurance-specialist-medical-digitization-pharmacist-digital-bridges-cairo-egypt
169,Medical Sales Representative,Boston Group,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Sales/Retail, Pharmaceutical, Medical Sales, Sales, Sales Target, Customer Service, Communication, Negotiation, Pharmacy, Planning",https://wuzzuf.net/jobs/p/b5bzz4o5yp4t-medical-sales-representative-boston-group-cairo-egypt
172,Medical Receptionist,Aton medical center,"Agouza,Giza,Egypt",,Shift Based,On-site,Entry Level,1 - 3 Yrs of Exp,"Customer Service/Support, Medical/Healthcare, Customer Service, Medical, Administration, Communication, Computer Skills, Customer Care, Microsoft Office, Reception",https://wuzzuf.net/jobs/p/c5ctm2wdamga-medical-receptionist-aton-medical-center-giza-egypt
173,Medical Salesman,Advanced Medical and Scientific Research Center,"Cairo,Egypt",,Full Time,Remote,Experienced,1 - 7 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Sales, Customer Service, Medical Sales, Pharmaceutical Sales, Relationship Building, Communication Skills, Negotiation, Market Analysis",https://wuzzuf.net/jobs/p/4hlq742xxk40-medical-salesman-advanced-medical-and-scientific-research-center-cairo-egypt
177,Regulatory Affairs Specialist,Ghalioungui,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Regulatory Affairs, Medical, Problem-solving, Regulatory compliance, EDA, Registration",https://wuzzuf.net/jobs/p/5qlx94sedcea-regulatory-affairs-specialist-ghalioungui-cairo-egypt
178,Medical Claim Audit Manager,Dar Al Fouad Hospital,"Cairo,Egypt",,Full Time,On-site,Manager,3 - 6 Yrs of Exp,"Medical/Healthcare, Management, Auditing, Analysis, Detail Oriented",https://wuzzuf.net/jobs/p/jxi7uyfk3mq3-medical-claim-audit-manager-dar-al-fouad-hospital-cairo-egypt
181,Key account manager (Chain Pharmacies),Joviality,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Sales, Sales Target",https://wuzzuf.net/jobs/p/l8me4kxue9mv-key-account-manager-chain-pharmacies-joviality-cairo-egypt
185,Medical Representative,Macro Group,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Pharmacy, Chemistry, Medical, Pharma, Sales, Science, Communication",https://wuzzuf.net/jobs/p/vny5no6qxt9l-medical-representative-macro-group-cairo-egypt
187,Medical Receptionist,Cairoscan,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,"Administration, Customer Service/Support, Medical/Healthcare, Medical, Administration, Customer Care, Customer Service, Communication",https://wuzzuf.net/jobs/p/828xofybares-medical-receptionist-cairoscan-cairo-egypt
189,Accountant / Cashier - Medical Clinic,Confidential,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Accounting, Finance, Financial Analysis, Microsoft Excel, Integrity, confidentiality, Computer Skills",https://wuzzuf.net/jobs/p/qre3tzwdo9uk-accountant-cashier-medical-clinic-cairo-egypt
193,"Sales Professional - ""Medical Background Only""",NawahScientific,"Mokattam,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 6 Yrs of Exp,"Business Development, Sales/Retail, Sales and negotiation, Client relationship management, Scientific knowledge, Time management, Sales, Sales Target, Indoor Sales, Account Management",https://wuzzuf.net/jobs/p/junfuxhnefmp-sales-professional-medical-background-only-nawah-scientific-cairo-egypt
