start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
196,Pharmacy Claims & Audit Supervisor,Diamond Medical Services,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Medical/Healthcare, Medical, Pharmacy",https://wuzzuf.net/jobs/p/ijxmrcjokzal-pharmacy-claims-audit-supervisor-diamond-medical-services-cairo-egypt
201,Regulatory Affairs Specialist,Specialized Seamless Services,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Medical/Healthcare, Regulatory Affairs, Documentation",https://wuzzuf.net/jobs/p/wkp4wgxa7gxb-regulatory-affairs-specialist-specialized-seamless-services-cairo-egypt
202,Medical Information Center Specialist,GROOVY Medical Spa,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Medical/Healthcare, Pharmaceutical, Communication, Negotiation, Medical Sales, Customer Support, Customer Satisfaction, Consultation, Client Support",https://wuzzuf.net/jobs/p/iyqtdmxp9vsg-medical-information-center-specialist-groovy-medical-spa-cairo-egypt
202,Medical Sales Representative - Cairo,Confidential,"Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical Representative, Pharmaceutical, Sales Field, Marketing, Pharma, Medical Devices, Medical Sales",https://wuzzuf.net/jobs/p/jchdhmmnlxk6-medical-sales-representative-cairo-cairo-egypt
206,Medical Representative,Saudi German Hospital,"Agami,Alexandria,Egypt",,Full Time,On-site,Entry Level,1+ Yrs of Exp,"Medical/Healthcare, Sales/Retail, Sales, Health Care",https://wuzzuf.net/jobs/p/gmxw15cygksf-medical-representative-saudi-german-hospital-alexandria-egypt
206,Medical Sales Representative - (New Cairo),Alfa Laboratories,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 6 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Knowledge of medical and laboratory services, Understanding of the healthcare market and referral process, Ability to effectively present and detail healthcare services to doctors and clinics, Territory management and route planning, Target tracking and sales performance monitoring, CRM system handling, Basic data analysis and sales reporting skills, Understanding of pricing structures and service agreements",https://wuzzuf.net/jobs/p/atgfibn8dj6s-medical-sales-representative-new-cairo-alfa-laboratories-cairo-egypt
206,Medical Sales Representative - (Mokattam),Alfa Laboratories,"Mokattam,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 6 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Knowledge of medical and laboratory services, Understanding of the healthcare market and referral process, Ability to effectively present and detail healthcare services to doctors and clinics, Territory management and route planning, Target tracking and sales performance monitoring, Competitor analysis and market feedback reporting, Basic data analysis and sales reporting skills, Understanding of pricing structures and service agreements",https://wuzzuf.net/jobs/p/eygkdkmdncy7-medical-sales-representative-mokattam-alfa-laboratories-cairo-egypt
210,Biomedical Engineer,Cairoscan,"Mohandessin,Giza,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Engineering, Biomedical Engineering, Medical Engineering, Medical Equipment, English",https://wuzzuf.net/jobs/p/7hwcorpyy88u-biomedical-engineer-cairoscan-giza-egypt
210,HSE Supervisor (Medical Background),Alfa Laboratories,"6th of October,Giza,Egypt",,Full Time,On-site,Manager,3 - 5 Yrs of Exp,"Medical/Healthcare, Analytical & Problem-Solving, Emergency Response & Safety Equipment Knowledge, Technical Tools & Software, Documentation & Reporting, Audit & Inspection Skills, Safety Procedures Implementation, Incident & Accident Investigation, Risk Assessment & Hazard Identification, HSE Compliance & Regulations",https://wuzzuf.net/jobs/p/ogbylwytatbw-hse-supervisor-medical-background-alfa-laboratories-giza-egypt
213,Medical Representative - Blood Bank,interpharma,"Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Field Work, Pharmacy, Relationship Building, Ability to Learn, Medical Representative, Sales, Sales Target",https://wuzzuf.net/jobs/p/fjho1eagxc2f-medical-representative-blood-bank-interpharma-cairo-egypt
216,Quality Assurance -Pharmacist,Akhnaton Trading and distribution  EVA Group Limted,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Quality, Pharmacy, pharmacist, QMS, GSDP, QA, Quality Assurance, Quality Control",https://wuzzuf.net/jobs/p/fyrzy9scs59n-quality-assurance-pharmacist-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt
219,Medical Claims Officer,Yodawy,"Mohandessin,Giza,Egypt",,Full Time,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Administration, Insurance, MEDICINE, Microsoft Office, Pharmacy, Claims, Pharma",https://wuzzuf.net/jobs/p/xetetlu2snsh-medical-claims-officer-yodawy-giza-egypt
220,HR Manager - Pharma Chain,Soficopharm,"Nasr City,Cairo,Egypt",,Full Time,On-site,Manager,5 - 8 Yrs of Exp,"Human Resources, Operations/Management, Lead Management, Team Leadership, HR Systems, MBA, HRM, PHR, SPHR, Business Administration",https://wuzzuf.net/jobs/p/6i3ahpr0dysb-hr-manager-pharma-chain-soficopharm-cairo-egypt
221,Corporate Sales Executive - Medical Sector,iVein Clinic,"Mahta Alraml,Alexandria,Egypt",,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Corporate Sales, Medical Sales, Medical, Healthcare B2B Sales, Corporate Medical Contracts, Medical Insurance",https://wuzzuf.net/jobs/p/ulwxsxn4cjww-corporate-sales-executive-medical-sector-ivein-clinic-alexandria-egypt
221,Medical Corporate Sales Executive,iVein Clinic,"New Cairo,Cairo,Egypt",,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Medical Sales, Corporate Sales, Medical, Medical Insurance, Corporate Medical Contracts, Hospital Sales",https://wuzzuf.net/jobs/p/klspqbjfj1lu-medical-corporate-sales-executive-ivein-clinic-cairo-egypt
225,Outpatient Pharmacist,Saudi German Hospital,"New Nozha,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Health Care, Medical, Pharmaceutical, Pharmacy, Pharmacy software proficiency, Patient counseling, Medication dispensing, Clinical documentation",https://wuzzuf.net/jobs/p/wdhayxvnlwia-outpatient-pharmacist-saudi-german-hospital-cairo-egypt
225,Biomedical Engineer,Saudi German Hospital,"New Nozha,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Engineering - Other, Biomedical Engineering, Biomedical, Bioengineering, Health Care, hospitals",https://wuzzuf.net/jobs/p/fxzfrr5ddatu-biomedical-engineer-saudi-german-hospital-cairo-egypt
228,Biomedical Maintenance Engineer,View Medical,"Cairo,Egypt",,Full Time,Hybrid,Experienced,1 - 1 Yrs of Exp,"Engineering - Mechanical/Electrical, Maintenance Engineering, laboratory IVD",https://wuzzuf.net/jobs/p/1wdcn8prroyg-biomedical-maintenance-engineer-view-medical-cairo-egypt
230,Medical Sales Specialist,BMEgypt,"Beni Suef,Beni Suef,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Sales Field, ourdoor, Communication, Outdoor Sales, Communication Skills, Medical Sales, Healthcare Industry Knowledge, Relationship Building, Negotiation",https://wuzzuf.net/jobs/p/71uuuiayql4l-medical-sales-specialist-bm-egypt-beni-suef-egypt
231,Medical Representative - Pharmaceutical Sales,Hoechst pharmaceutical industries,"Assuit,Assiut,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Sales/Retail, Pharmaceutical, Medical Sales, Medical, Pharmaceutical Sales, Product Knowledge, Territory Management, Relationship Building, Communication Skills, Negotiation Skills",https://wuzzuf.net/jobs/p/rvvo923bo7mi-medical-representative-pharmaceutical-sales-hoechst-pharmaceutical-industries-assiut-egypt
234,Clinical Pharmacist – Case Manager,HealPath,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 2 Yrs of Exp,"Medical/Healthcare, Patient communication & counseling skills, Problem-solving skills, Strong clinical judgment, Ethical and compliance awareness",https://wuzzuf.net/jobs/p/9apkqatnxubm-clinical-pharmacist-case-manager-healpath-cairo-egypt
235,Regulatory Affairs Specialist,APEX Pharma,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Operations/Management, Regulatory Affairs, regulatory, Pharmaceutical Science, Pharmaceutical, computer, Pharmacy, Science, ctd, E-ctd",https://wuzzuf.net/jobs/p/sz1ejlrw9frz-regulatory-affairs-specialist-apex-pharma-cairo-egypt
242,Biomedical Engineer (Service and Installation),BTL Industries Egypt,"Maadi,Cairo,Egypt",,Full Time,Hybrid,Entry Level,0 - 2 Yrs of Exp,"Installation/Maintenance/Repair, Engineering - Other, Biomedical Engineering, Biomedical, Interpersonal skills, Engineering, Electronic, Communication, Medical, Maintenance",https://wuzzuf.net/jobs/p/jupinlwt7xmc-biomedical-engineer-service-and-installation-btl-industries-egypt-cairo-egypt
255,Regulatory Affairs Specialist (Medical Device),ElAhlyia Health Care For Medical Supplies,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain, Medical/Healthcare, Medical, regulatory, Regulatory Affairs, Science, medical, renewals, Social Sciences",https://wuzzuf.net/jobs/p/3xo8mnfhgi7y-regulatory-affairs-specialist-medical-device-el-ahlyia-health-care-for-medical-supplies-cairo-egypt
255,Regulatory Section Head,ElAhlyia Health Care For Medical Supplies,"Sheraton,Cairo,Egypt",,Full Time,On-site,Manager,7+ Yrs of Exp,"Medical/Healthcare, Medical, Medical Devices Sales, Regulatory Affairs, Regulations, Safety Regulations, Financial Regulatory Authority",https://wuzzuf.net/jobs/p/fgwsnef7qacd-regulatory-section-head-el-ahlyia-health-care-for-medical-supplies-cairo-egypt
259,Pharmacist - Customer & Technical Support,Confidential,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 7 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Customer Service, Customer Support, Customer Relations, Pharmacy, Pharma, Pharma Sales, Customer Care",https://wuzzuf.net/jobs/p/lijbvy9iphhf-pharmacist-customer-technical-support-cairo-egypt
259,Medical Sales Representative,Surgitech,"Giza,Egypt",,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Veterinary Medicine, Wound Care Specialist, Field Sales Representative, Pressure Ulcer Management, Clinical Support, Medical Sales, Senior Product Specialist, Pressure Injury Prevention",https://wuzzuf.net/jobs/p/fefoytowocqh-medical-sales-representative-surgitech-giza-egypt
264,Medical Sales Representative,Medrail Group,"Haram,Giza,Egypt",,Full Time,On-site,Experienced,0 - 3 Yrs of Exp,"Sales/Retail, Sales, Medical, Medical Sales, Medical Devices Sales",https://wuzzuf.net/jobs/p/l46eu2sc5yqr-medical-sales-representative-medrail-group-giza-egypt
265,Inpatient Pharmacist,Misr International Hospital,"Dokki,Giza,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmacy, Pharmaceutical",https://wuzzuf.net/jobs/p/f6fqlzsxhenz-inpatient-pharmacist-misr-international-hospital-giza-egypt
265,Healthcare Marketing Manager,Elghandour Medical Group,"10th of Ramadan City,Cairo,Egypt",,Full Time,On-site,Manager,10+ Yrs of Exp,"Marketing/PR/Advertising, Medical/Healthcare, Sales/Retail, Strategic Marketing, Digital Marketing, Marketing Planning, Team Coaching, Healthcare Marketing, Integrated Marketing Communication, Marketing Automation",https://wuzzuf.net/jobs/p/4yoou0yke3bk-healthcare-marketing-manager-elghandour-medical-group-cairo-egypt
268,Marketing Manager (Pharmaceutical Experience),Confidential,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Manager,7 - 8 Yrs of Exp,"Marketing/PR/Advertising, Media/Journalism/Publishing, Market Research, Marketing, Cosmetics, Consumer Product, Brands, Digital",https://wuzzuf.net/jobs/p/t8bg6jtkdpg0-marketing-manager-pharmaceutical-experience-cairo-egypt
268,Mechanical Sales Engineer – Pharmaceutical Industry,Al Massat Life Sciences Egypt,"Cairo,Egypt",,Full Time,On-site,Experienced,5+ Yrs of Exp,"Sales/Retail, Engineering - Mechanical/Electrical, Sales, Mechanical Engineering, Communication, Engineering, Mechanical, Negotiation, Pharmaceutical",https://wuzzuf.net/jobs/p/a2hwvynkp0je-mechanical-sales-engineer-pharmaceutical-industry-al-massat-life-sciences-egypt-cairo-egypt
271,Sales Executive – Healthcare Software,Newvision,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Business Development, IT/Software Development, Sales/Retail, Negotiation, Information Technology (IT), Business Development, Client Relationship Management, Time Management, Account Management, Sales Strategy",https://wuzzuf.net/jobs/p/6p2l0vysswqr-sales-executive-healthcare-software-newvision-cairo-egypt
274,Medical Sales Representative,Max Muscle,"Alexandria,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"Sales/Retail, Sports and Leisure, Pharmaceutical, Pharmaceutical Sales, Pharmaceutical Industries",https://wuzzuf.net/jobs/p/2p7w7txlouna-medical-sales-representative-max-muscle-alexandria-egypt
281,Inpatient Pharmacist - Night Shift,Alexandria New Medical Center,"Alexandria,Egypt",,Full Time,Shift Based,On-site,1 - 2 Yrs of Exp,"Entry Level, Medical/Healthcare, Pharmaceutical, strong critical thinking and problem solving, ability to work independently and as part of a team, continuous learning",https://wuzzuf.net/jobs/p/pv25iouf54i5-inpatient-pharmacist-night-shift-alexandria-new-medical-center-alexandria-egypt
293,Medical Sales Representative - 6th Of October,Orthomedics,"6th of October,Giza,Egypt",,Full Time,Part Time,On-site,0 - 3 Yrs of Exp,"Entry Level, Medical/Healthcare, Sales/Retail, Pharmaceutical, Outdoor Sales, sales skills, Sales Target, Pharmaceutical, Retail Sales, Sales Planning, Medical Sales",https://wuzzuf.net/jobs/p/qhrqawrdfdoq-medical-sales-representative-6th-of-october-orthomedics-giza-egypt
299,Clinical Pharmacists,Saudi German Hospital,"New Nozha,Cairo,Egypt",,Full Time,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Clinical Pharmacy, Clinical, Healthcare, Medical, Pharmaceutical, Pharma, Pharmacy",https://wuzzuf.net/jobs/p/cgixi6p2bmhk-clinical-pharmacists-saudi-german-hospital-cairo-egypt
309,Equipment Sales Engineer - Food/Pharma Equipment,Cairo Trading Center,"6th of October,Giza,Egypt",,Full Time,On-site,Experienced,2 - 7 Yrs of Exp,"Sales/Retail, Engineering - Mechanical/Electrical, Sales, Electrical Engineering, Mechatronics, Mechanical Engineering, Equipment, Sales Engineering, Sales Skills, Sales Target",https://wuzzuf.net/jobs/p/h2ktunpxqacq-equipment-sales-engineer-foodpharma-equipment-cairo-trading-center-giza-egypt
311,Licensed Pharmacist – Sheikh Zayed,SAMEH ELASHRI PHARMACY,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Medical, Pharmaceutical, Pharmacy, Administration, Communication, Communication skills, Chemical, OTC Drugs",https://wuzzuf.net/jobs/p/dwhhg9vcxoef-licensed-pharmacist-sheikh-zayed-sameh-elashri-pharmacy-giza-egypt
318,Medical Devices Sales Specialist,STARK,"Maadi,Cairo,Egypt",,Full Time,Remote,Entry Level,0 - 5 Yrs of Exp,"Medical/Healthcare, Sales/Retail, medical rep, Medical Sales, Medical Equipment, Medical, Sales, Sales Target, sales skills",https://wuzzuf.net/jobs/p/1wyphrlgny5s-medical-devices-sales-specialist-stark-cairo-egypt
326,Biomedical Maintenance Engineer,ElAhlyia Health Care For Medical Supplies,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Installation/Maintenance/Repair, Medical/Healthcare, Engineering - Other, Biomedical Engineering, Biomedical Equipment, Biomedical, Healthcare, Equipment Maintenance",https://wuzzuf.net/jobs/p/dgjzj43pntkc-biomedical-maintenance-engineer-el-ahlyia-health-care-for-medical-supplies-cairo-egypt
327,Community Pharmacist (Heliopolis / Nasr City),Yodawy,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 6 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Communication skills, Medical, MS Office, Pharmaceutical, Pharmacy, Sales, Administration",https://wuzzuf.net/jobs/p/zf3onmhnnzne-community-pharmacist-heliopolis-nasr-city-yodawy-cairo-egypt
327,Community Pharmacist ( Haram / Omraneya / October),Yodawy,"Giza,Giza,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Pharmacy, Pharmaceutical, Pharma, Communication, Multitasking, Problem Solving, Negotiation",https://wuzzuf.net/jobs/p/phypuhe9vuob-community-pharmacist-haram-omraneya-october-yodawy-giza-egypt
331,Procurement Specialist–Non Medical,Mersal,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain, Purchasing/Procurement, Purchasing, Procurement, Purchasing Management, Procurement Management, Procurements, Stock Management, Business Administration, Supply Chain Management",https://wuzzuf.net/jobs/p/fxlw10z2wlkl-procurement-specialist-non-medical-mersal-cairo-egypt
335,Medical CFO,Confidential,"Hurghada,Red Sea,Egypt",,Full Time,On-site,Senior Management,8 - 20 Yrs of Exp,"Accounting/Finance, Operations/Management, Medical/Healthcare, Auditing, Project Management, Strategic Planning, Project management, Strategic planning, Financial reporting, Budgeting",https://wuzzuf.net/jobs/p/qw5mhhiu5f7t-medical-cfo-red-sea-egypt
337,Quality Assurance Officer (Laboratory Medical Devices),ADI Egypt,"Cairo,Egypt",,Full Time,On-site,Experienced,3+ Yrs of Exp,"R&D/Science, Medical/Healthcare, Quality, ERP System, Quality Assurance, Auditing, Problem Solving, Analytical Thinking, Attention to Detail, Communication",https://wuzzuf.net/jobs/p/phvww73vz1cw-quality-assurance-officer-laboratory-medical-devices-adi-egypt-cairo-egypt
342,Medical Sales Representative,NEXUS BUSINESS CORE,"Nasr City,Cairo,Egypt",,Full Time,Part Time,Shift Based,3 - 7 Yrs of Exp,"On-site, Experienced, Medical/Healthcare, Sales/Retail, Outdoor Sales, Medical Sales, Sales, Sales Field, Sales Target, Sales Plan, Sales Planning, Sales Plans",https://wuzzuf.net/jobs/p/oy0zjoiojznx-medical-sales-representative-nexus-business-core-cairo-egypt
352,Pharmacist (Packer),Yodawy,"Abu Rawash,Giza,Egypt",,Full Time,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Pharmaceutical, Medical Insurance, Pharmacy, Warehouse",https://wuzzuf.net/jobs/p/iugrfod8rzte-pharmacist-packer-yodawy-giza-egypt
353,Medical Representative. New Cairo - El Sheikh Zayed,Macro Group,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Pharmacy, Chemistry, Medical, Pharma, Sales, Science, Communication",https://wuzzuf.net/jobs/p/lwtzahdq6egu-medical-representative-new-cairo-el-sheikh-zayed-macro-group-cairo-egypt
353,Chief Pharmacist.,Confidential,"Nasr City,Cairo,Egypt",,Full Time,On-site,Senior Management,3 - 5 Yrs of Exp,"Medical/Healthcare, Communication, solve problem, Clinical Pharmacy, Pharmacy, Pharmaceutical, Pharma, Pharmaceutical Industry",https://wuzzuf.net/jobs/p/brznm9ejihgk-chief-pharmacist-cairo-egypt
356,Doctor / pharmacist/ Dentist / Dermatologist : female only,La Parisienne,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Healthcare, Medical, Doctor, Medicine, Tidiness, Physical Stamina, Communication Skills, Pharmacy",https://wuzzuf.net/jobs/p/odtrbbdymvew-doctor-pharmacist-dentist-dermatologist-female-only-la-parisienne-cairo-egypt
359,Pharmacist,Al Rabat,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 10 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Pharmaceutical dispensing, Medication therapy management, Inventory management, Problem-solving",https://wuzzuf.net/jobs/p/p5xragiwepcr-pharmacist-al-rabat-cairo-egypt
364,Shift Manager ( Pharmacist)-October Area,CARE PHARMACIES,"6th of October,Giza,Egypt",,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Pharmaceutical, Communication skills, Communication, Pharmacy, Retail Sales, Health Care",https://wuzzuf.net/jobs/p/7uchbmnpihoo-shift-manager-pharmacist-october-area-care-pharmacies-giza-egypt
365,Medical Approval Manager,Diamond Medical Services,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Manager,5+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Medical Claims Management, Health Insurance Knowledge, Team Leadership, Problem Solving, Decision Making",https://wuzzuf.net/jobs/p/dgxdczsyexk5-medical-approval-manager-diamond-medical-services-cairo-egypt
371,Medical Approval Officer,AsSalam International Hospital,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 5 Yrs of Exp,"Medical/Healthcare, Medical claims evaluation, Insurance authorization, Healthcare administration, Communication, Problem-solving, Customer service, Medical Insurance, approval",https://wuzzuf.net/jobs/p/gpo3obc09uan-medical-approval-officer-as-salam-international-hospital-cairo-egypt
